DATE;FyF;TPGSocios ;FondoAlerta
2011-07-27;E;;
2011-10-12;A;;
2011-11-22;E;;
2012-01-10;A;;
2012-03-29;E;;
2012-06-19;A;;
2012-06-28;E;;
2012-07-19;A;;
2012-08-29;E;;
2013-01-02;A;;
2013-04-03;E;;
2013-07-17;A;;
2013-08-16;E;;
2013-09-06;A;;
2014-01-24;E;;
2014-03-06;50C-50E;;
2014-08-01;E;;
2014-08-19;50A-50E;;
2014-10-30;A;;
2014-12-15;E;;
2015-02-12;50A-50E;;
2015-03-18;A;;
2015-05-13;50A-50E;;
2015-07-08;40C-60E;;
2015-08-24;E;;
2015-10-13;50C-50E;;
2015-10-26;E;;
2015-12-16;50A-50E;;
2015-12-22;A;;
2016-01-06;50A-50E;;
2016-01-15;E;;
2016-02-22;50C-50E;;
2016-04-29;E;;
