DATE;GFDEGDQ188S
1966-01-01;40,26076
1966-04-01;39,15969
1966-07-01;39,56481
1966-10-01;39,44413
1967-01-01;39,11903
1967-04-01;37,93832
1967-07-01;38,76021
1967-10-01;39,02434
1968-01-01;38,35726
1968-04-01;36,88657
1968-07-01;37,25118
1968-10-01;36,9064
1969-01-01;36,12076
1969-04-01;34,89173
1969-07-01;34,9501
1969-10-01;35,38253
1970-01-01;35,31153
1970-04-01;34,58499
1970-07-01;34,78898
1970-10-01;35,6535
1971-01-01;34,42327
1971-04-01;34,26816
1971-07-01;34,92909
1971-10-01;35,53376
1972-01-01;34,63641
1972-04-01;33,57492
1972-07-01;33,54042
1972-10-01;33,66914
1973-01-01;33,21547
1973-04-01;32,25995
1973-07-01;32,05832
1973-10-01;31,71341
1974-01-01;31,69031
1974-04-01;30,9109
1974-07-01;30,79609
1974-10-01;30,73387
1975-01-01;31,4682
1975-04-01;32,18957
1975-07-01;32,30523
1975-10-01;32,65468
1976-01-01;32,91258
1976-04-01;33,41225
1976-07-01;33,57318
1976-10-01;33,71559
1977-01-01;33,5863
1977-04-01;32,7359
1977-07-01;32,92688
1977-10-01;33,15087
1978-01-01;33,4111
1978-04-01;32,05615
1978-07-01;32,16241
1978-10-01;31,79466
1979-01-01;31,47385
1979-04-01;31,00709
1979-07-01;30,95113
1979-10-01;30,94869
1980-01-01;30,87613
1980-04-01;31,34448
1980-07-01;31,7378
1980-10-01;31,07433
1981-01-01;30,79798
1981-04-01;30,66252
1981-07-01;30,59779
1981-10-01;31,33026
1982-01-01;32,41795
1982-04-01;32,40867
1982-07-01;33,91747
1982-10-01;35,12747
1983-01-01;35,75821
1983-04-01;36,82072
1983-07-01;37,29954
1983-10-01;37,16188
1984-01-01;37,40904
1984-04-01;37,67614
1984-07-01;38,46619
1984-10-01;40,09466
1985-01-01;40,376
1985-04-01;41,24863
1985-07-01;41,48507
1985-10-01;43,69859
1986-01-01;43,99212
1986-04-01;45,20875
1986-07-01;46,00623
1986-10-01;47,43297
1987-01-01;47,43727
1987-04-01;47,8958
1987-07-01;47,95994
1987-10-01;48,4145
1988-01-01;48,86558
1988-04-01;48,92094
1988-07-01;49,10242
1988-10-01;49,59432
1989-01-01;49,58747
1989-04-01;49,74634
1989-07-01;50,02856
1989-10-01;51,23701
1990-01-01;51,80889
1990-04-01;52,61777
1990-07-01;53,62489
1990-10-01;55,8634
1991-01-01;57,2295
1991-04-01;57,58819
1991-07-01;58,94286
1991-10-01;60,54334
1992-01-01;60,82761
1992-04-01;61,37511
1992-07-01;61,71139
1992-10-01;62,36576
1993-01-01;62,69198
1993-04-01;63,72189
1993-07-01;63,89573
1993-10-01;64,49333
1994-01-01;64,12103
1994-04-01;63,9055
1994-07-01;63,82697
1994-10-01;64,20145
1995-01-01;64,46551
1995-04-01;65,10765
1995-07-01;64,5427
1995-10-01;63,96134
1996-01-01;64,83873
1996-04-01;64,02129
1996-07-01;64,03739
1996-10-01;64,23444
1997-01-01;64,0422
1997-04-01;62,86499
1997-07-01;62,27877
1997-10-01;62,61038
1998-01-01;62,3466
1998-04-01;61,68004
1998-07-01;60,41866
1998-10-01;60,20156
1999-01-01;59,82381
1999-04-01;59,00157
1999-07-01;58,23822
1999-10-01;58,19094
2000-01-01;57,5555
2000-04-01;55,31983
2000-07-01;54,78382
2000-10-01;54,0685
2001-01-01;54,94561
2001-04-01;53,83154
2001-07-01;54,58399
2001-10-01;55,53941
2002-01-01;55,43484
2002-04-01;56,02726
2002-07-01;56,43
2002-10-01;57,68932
2003-01-01;57,53089
2003-04-01;58,6606
2003-07-01;58,35064
2003-10-01;59,22047
2004-01-01;59,48307
2004-04-01;59,71674
2004-07-01;59,66391
2004-10-01;60,46825
2005-01-01;60,69238
2005-04-01;60,40108
2005-07-01;60,07171
2005-10-01;61,05707
2006-01-01;61,33209
2006-04-01;61,01568
2006-07-01;61,16385
2006-10-01;61,70892
2007-01-01;62,17621
2007-04-01;61,48587
2007-07-01;61,82456
2007-10-01;62,84633
2008-01-01;64,33963
2008-04-01;64,07889
2008-07-01;67,5384
2008-10-01;73,53868
2009-01-01;77,35691
2009-04-01;80,50874
2009-07-01;82,79856
2009-10-01;84,51824
2010-01-01;87,00386
2010-04-01;88,67047
2010-07-01;90,06437
2010-10-01;92,08819
2011-01-01;93,64575
2011-04-01;92,77007
2011-07-01;94,88834
2011-10-01;96,43744
2012-01-01;97,70011
2012-04-01;98,34472
2012-07-01;99,00381
2012-10-01;100,831
2013-01-01;102,01136
2013-04-01;101,27986
2013-07-01;100,06385
2013-10-01;101,17068
2014-01-01;103,63234
2014-04-01;102,09963
2014-07-01;101,72337
2014-10-01;102,98335
2015-01-01;102,84859
2015-04-01;101,33026
2015-07-01;100,50065
2015-10-01;104,16949
2016-01-01;105,72874
